,cylinders,displacement,horsepower,weight,acceleration,cylinders^2,displacement^2,horsepower^2,weight^2,acceleration^2
0,8,307.0,130.0,3504,12.0,64,94249.0,16900.0,12278016,144.0
1,8,350.0,165.0,3693,11.5,64,122500.0,27225.0,13638249,132.25
2,8,318.0,150.0,3436,11.0,64,101124.0,22500.0,11806096,121.0
3,8,304.0,150.0,3433,12.0,64,92416.0,22500.0,11785489,144.0
4,8,302.0,140.0,3449,10.5,64,91204.0,19600.0,11895601,110.25
5,8,429.0,198.0,4341,10.0,64,184041.0,39204.0,18844281,100.0
6,8,454.0,220.0,4354,9.0,64,206116.0,48400.0,18957316,81.0
7,8,440.0,215.0,4312,8.5,64,193600.0,46225.0,18593344,72.25
8,8,455.0,225.0,4425,10.0,64,207025.0,50625.0,19580625,100.0
9,8,390.0,190.0,3850,8.5,64,152100.0,36100.0,14822500,72.25
10,8,383.0,170.0,3563,10.0,64,146689.0,28900.0,12694969,100.0
11,8,340.0,160.0,3609,8.0,64,115600.0,25600.0,13024881,64.0
12,8,400.0,150.0,3761,9.5,64,160000.0,22500.0,14145121,90.25
13,8,455.0,225.0,3086,10.0,64,207025.0,50625.0,9523396,100.0
14,4,113.0,95.0,2372,15.0,16,12769.0,9025.0,5626384,225.0
15,6,198.0,95.0,2833,15.5,36,39204.0,9025.0,8025889,240.25
16,6,199.0,97.0,2774,15.5,36,39601.0,9409.0,7695076,240.25
17,6,200.0,85.0,2587,16.0,36,40000.0,7225.0,6692569,256.0
18,4,97.0,88.0,2130,14.5,16,9409.0,7744.0,4536900,210.25
19,4,97.0,46.0,1835,20.5,16,9409.0,2116.0,3367225,420.25
20,4,110.0,87.0,2672,17.5,16,12100.0,7569.0,7139584,306.25
21,4,107.0,90.0,2430,14.5,16,11449.0,8100.0,5904900,210.25
22,4,104.0,95.0,2375,17.5,16,10816.0,9025.0,5640625,306.25
23,4,121.0,113.0,2234,12.5,16,14641.0,12769.0,4990756,156.25
24,6,199.0,90.0,2648,15.0,36,39601.0,8100.0,7011904,225.0
25,8,360.0,215.0,4615,14.0,64,129600.0,46225.0,21298225,196.0
26,8,307.0,200.0,4376,15.0,64,94249.0,40000.0,19149376,225.0
27,8,318.0,210.0,4382,13.5,64,101124.0,44100.0,19201924,182.25
28,8,304.0,193.0,4732,18.5,64,92416.0,37249.0,22391824,342.25
29,4,97.0,88.0,2130,14.5,16,9409.0,7744.0,4536900,210.25
30,4,140.0,90.0,2264,15.5,16,19600.0,8100.0,5125696,240.25
31,4,113.0,95.0,2228,14.0,16,12769.0,9025.0,4963984,196.0
33,6,232.0,100.0,2634,13.0,36,53824.0,10000.0,6937956,169.0
34,6,225.0,105.0,3439,15.5,36,50625.0,11025.0,11826721,240.25
35,6,250.0,100.0,3329,15.5,36,62500.0,10000.0,11082241,240.25
