,mpg
0,18.0
1,15.0
2,18.0
3,16.0
4,17.0
5,15.0
6,14.0
7,14.0
8,14.0
9,15.0
10,15.0
11,14.0
12,15.0
13,14.0
14,24.0
15,22.0
16,18.0
17,21.0
18,27.0
19,26.0
20,25.0
21,24.0
22,25.0
23,26.0
24,21.0
25,10.0
26,10.0
27,11.0
28,9.0
29,27.0
30,28.0
31,25.0
33,19.0
34,16.0
35,17.0
36,19.0
37,18.0
38,14.0
39,14.0
40,14.0
41,14.0
42,12.0
43,13.0
44,13.0
45,18.0
46,22.0
47,19.0
48,18.0
49,23.0
50,28.0
51,30.0
52,30.0
53,31.0
54,35.0
55,27.0
56,26.0
57,24.0
58,25.0
59,23.0
60,20.0
61,21.0
62,13.0
63,14.0
64,15.0
65,14.0
66,17.0
67,11.0
68,13.0
69,12.0
70,13.0
71,19.0
72,15.0
73,13.0
74,13.0
75,14.0
76,18.0
77,22.0
78,21.0
79,26.0
80,22.0
81,28.0
82,23.0
83,28.0
84,27.0
85,13.0
86,14.0
87,13.0
88,14.0
89,15.0
90,12.0
91,13.0
92,13.0
93,14.0
94,13.0
95,12.0
96,13.0
97,18.0
98,16.0
99,18.0
100,18.0
101,23.0
102,26.0
103,11.0
104,12.0
105,13.0
106,12.0
107,18.0
108,20.0
109,21.0
110,22.0
111,18.0
112,19.0
113,21.0
114,26.0
115,15.0
116,16.0
117,29.0
118,24.0
119,20.0
120,19.0
121,15.0
122,24.0
123,20.0
124,11.0
125,20.0
127,19.0
128,15.0
129,31.0
130,26.0
131,32.0
132,25.0
133,16.0
134,16.0
135,18.0
136,16.0
137,13.0
138,14.0
139,14.0
140,14.0
141,29.0
142,26.0
143,26.0
144,31.0
145,32.0
146,28.0
147,24.0
148,26.0
149,24.0
150,26.0
151,31.0
152,19.0
153,18.0
154,15.0
155,15.0
156,16.0
157,15.0
158,16.0
159,14.0
160,17.0
161,16.0
162,15.0
163,18.0
164,21.0
165,20.0
166,13.0
167,29.0
168,23.0
169,20.0
170,23.0
171,24.0
172,25.0
173,24.0
174,18.0
175,29.0
176,19.0
177,23.0
178,23.0
179,22.0
180,25.0
181,33.0
182,28.0
183,25.0
184,25.0
185,26.0
186,27.0
187,17.5
188,16.0
189,15.5
190,14.5
191,22.0
192,22.0
193,24.0
194,22.5
195,29.0
196,24.5
197,29.0
198,33.0
199,20.0
200,18.0
201,18.5
202,17.5
203,29.5
204,32.0
205,28.0
206,26.5
207,20.0
208,13.0
209,19.0
210,19.0
211,16.5
212,16.5
213,13.0
214,13.0
215,13.0
216,31.5
217,30.0
218,36.0
219,25.5
220,33.5
221,17.5
222,17.0
223,15.5
224,15.0
225,17.5
226,20.5
227,19.0
228,18.5
229,16.0
230,15.5
231,15.5
232,16.0
233,29.0
234,24.5
235,26.0
236,25.5
237,30.5
238,33.5
239,30.0
240,30.5
241,22.0
242,21.5
243,21.5
244,43.1
245,36.1
246,32.8
247,39.4
248,36.1
249,19.9
250,19.4
251,20.2
252,19.2
253,20.5
254,20.2
255,25.1
256,20.5
257,19.4
258,20.6
259,20.8
260,18.6
261,18.1
262,19.2
263,17.7
264,18.1
265,17.5
266,30.0
267,27.5
268,27.2
269,30.9
270,21.1
271,23.2
272,23.8
273,23.9
274,20.3
275,17.0
276,21.6
277,16.2
278,31.5
279,29.5
280,21.5
281,19.8
282,22.3
283,20.2
284,20.6
285,17.0
286,17.6
287,16.5
288,18.2
289,16.9
290,15.5
291,19.2
292,18.5
293,31.9
294,34.1
295,35.7
296,27.4
297,25.4
298,23.0
299,27.2
300,23.9
301,34.2
302,34.5
303,31.8
304,37.3
305,28.4
306,28.8
307,26.8
308,33.5
309,41.5
310,38.1
311,32.1
312,37.2
313,28.0
314,26.4
315,24.3
316,19.1
317,34.3
318,29.8
319,31.3
320,37.0
321,32.2
322,46.6
323,27.9
324,40.8
325,44.3
326,43.4
327,36.4
328,30.0
329,44.6
331,33.8
332,29.8
333,32.7
334,23.7
335,35.0
337,32.4
338,27.2
339,26.6
340,25.8
341,23.5
342,30.0
343,39.1
344,39.0
345,35.1
346,32.3
347,37.0
348,37.7
349,34.1
350,34.7
351,34.4
352,29.9
353,33.0
355,33.7
356,32.4
357,32.9
358,31.6
359,28.1
360,30.7
361,25.4
362,24.2
363,22.4
364,26.6
365,20.2
366,17.6
367,28.0
368,27.0
369,34.0
370,31.0
371,29.0
372,27.0
373,24.0
375,36.0
376,37.0
377,31.0
378,38.0
379,36.0
380,36.0
381,36.0
382,34.0
383,38.0
384,32.0
385,38.0
386,25.0
387,38.0
388,26.0
389,22.0
390,32.0
391,36.0
392,27.0
393,27.0
394,44.0
395,32.0
396,28.0
397,31.0
