table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,"331,515,736","331,577,720","332,099,760","334,017,321","336,806,231","340,110,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"57,617,706","57,431,458","57,252,533","57,159,597","57,398,303","57,832,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midwest,"68,998,970","68,984,258","68,872,831","68,903,297","69,186,401","69,596,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South,"126,281,537","126,476,549","127,368,010","129,037,849","130,893,358","132,665,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West,"78,617,523","78,685,455","78,606,386","78,916,578","79,328,169","80,015,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Alabama,"5,025,369","5,033,094","5,049,196","5,076,181","5,117,673","5,157,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Alaska,"733,395","733,017","734,420","734,442","736,510","740,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Arizona,"7,158,110","7,187,135","7,274,078","7,377,566","7,473,027","7,582,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Arkansas,"3,011,553","3,014,546","3,026,870","3,047,704","3,069,463","3,088,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.California,"39,555,674","39,521,958","39,142,565","39,142,414","39,198,693","39,431,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Colorado,"5,775,324","5,787,129","5,814,036","5,850,935","5,901,339","5,957,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Connecticut,"3,607,701","3,579,918","3,606,607","3,617,925","3,643,023","3,675,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Delaware,"989,955","991,928","1,005,062","1,020,625","1,036,423","1,051,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.District of Columbia,"689,545","670,917","669,256","676,725","687,324","702,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Florida,"21,538,192","21,592,035","21,831,949","22,379,312","22,904,868","23,372,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Georgia,"10,713,755","10,732,888","10,792,060","10,931,805","11,064,432","11,180,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hawaii,"1,455,252","1,451,252","1,447,029","1,440,359","1,441,387","1,446,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Idaho,"1,839,140","1,849,415","1,904,848","1,944,299","1,971,122","2,001,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Illinois,"12,821,814","12,799,088","12,700,641","12,621,821","12,642,259","12,710,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Indiana,"6,786,587","6,790,497","6,815,907","6,844,545","6,880,131","6,924,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Iowa,"3,190,546","3,191,141","3,198,613","3,202,820","3,218,414","3,241,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Kansas,"2,937,745","2,938,172","2,938,338","2,937,324","2,951,500","2,970,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Kentucky,"4,506,302","4,508,318","4,507,583","4,519,233","4,550,595","4,588,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Louisiana,"4,657,874","4,652,301","4,627,971","4,593,687","4,588,071","4,597,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Maine,"1,363,196","1,364,571","1,378,931","1,390,922","1,399,646","1,405,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Maryland,"6,181,629","6,177,935","6,179,403","6,192,440","6,217,062","6,263,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Massachusetts,"7,033,132","6,994,598","7,000,474","7,022,468","7,066,568","7,136,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Michigan,"10,079,338","10,072,703","10,041,351","10,050,877","10,083,356","10,140,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Minnesota,"5,706,692","5,710,735","5,718,660","5,721,621","5,753,048","5,793,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Mississippi,"2,961,278","2,958,536","2,947,209","2,941,939","2,943,172","2,943,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Missouri,"6,154,854","6,154,744","6,171,374","6,179,414","6,208,038","6,245,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Montana,"1,084,216","1,087,230","1,106,522","1,122,095","1,131,302","1,137,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Nebraska,"1,961,996","1,963,387","1,964,537","1,972,246","1,987,864","2,005,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Nevada,"3,105,595","3,116,967","3,148,141","3,176,116","3,214,363","3,267,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New Hampshire,"1,377,546","1,378,756","1,387,677","1,396,678","1,402,199","1,409,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New Jersey,"9,289,014","9,272,794","9,270,541","9,295,227","9,379,642","9,500,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New Mexico,"2,117,555","2,118,606","2,117,333","2,113,868","2,121,164","2,130,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New York,"20,203,772","20,105,171","19,848,276","19,703,747","19,737,367","19,867,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.North Carolina,"10,441,499","10,449,652","10,564,320","10,710,793","10,881,189","11,046,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.North Dakota,"779,046","779,563","777,966","781,057","789,047","796,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Ohio,"11,799,453","11,798,905","11,767,344","11,777,874","11,824,034","11,883,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Oklahoma,"3,959,405","3,965,415","3,992,238","4,026,229","4,063,882","4,095,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Oregon,"4,237,224","4,243,779","4,254,280","4,247,372","4,253,653","4,272,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Pennsylvania,"13,002,909","12,996,143","13,015,571","12,984,990","13,017,721","13,078,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Rhode Island,"1,097,354","1,096,530","1,097,246","1,099,498","1,103,429","1,112,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.South Carolina,"5,118,252","5,132,249","5,194,274","5,287,935","5,387,830","5,478,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.South Dakota,"886,729","887,948","896,492","909,723","918,305","924,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
