"Current Season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend"
"2022-23","JUL","25","277235","Wisconsin","0.0001","5-8 years","2022-23, Wisconsin: 5-8 years"
"2024-25","FEB",,,"Houston",,"13-17 years","2024-25, Houston: 13-17 years"
"2024-25","MAY","60607","207782","Delaware","0.2917","6 months to 17 years","2024-25, Delaware: 6 months to 17 years"
"2025-26","JUL",,,"Nebraska",,"18-49 years","2025-26, Nebraska: 18-49 years"
"2025-26","JUL","0","374","Republic of Palau","0","6-23 months","2025-26, Republic of Palau: 6-23 months"
"2025-26","NOV",,,"New Jersey",,"6-23 months","2025-26, New Jersey: 6-23 months"
"2022-23","MAR",,,"Rhode Island",,"5-8 years","2022-23, Rhode Island: 5-8 years"
"2022-23","OCT","857985","2100218","Ohio","0.4085","65+ years","2022-23, Ohio: 65+ years"
"2023-24","FEB",,,"Houston",,"6 months to 17 years","2023-24, Houston: 6 months to 17 years"
"2023-24","MAY","145136","562863","Arkansas","0.2579","50-64 years","2023-24, Arkansas: 50-64 years"
"2024-25","FEB","360421","1820183","Oregon","0.198","18-49 years","2024-25, Oregon: 18-49 years"
"2024-25","JAN","1138242","2208882","Ohio","0.5153","65+ years","2024-25, Ohio: 65+ years"
"2024-25","JUL","160","2258965","Pennsylvania","0.0001","6 months to 17 years","2024-25, Pennsylvania (excluding Philadelphia County): 6 months to 17 years"
"2024-25","OCT","42609","371060","District of Columbia","0.1148","18-49 years","2024-25, District of Columbia: 18-49 years"
"2022-23","FEB","1546434","6714033","New York City","0.2303","18+ years","2022-23, New York City: 18+ years"
"2022-23","JUN","22009","71866","Oklahoma","0.3063","6-23 months","2022-23, Oklahoma: 6-23 months"
"2022-23","OCT","54730","696036","North Carolina","0.0786","13-17 years","2022-23, North Carolina: 13-17 years"
"2023-24","FEB","39696","249303","Alabama","0.1592","5-8 years","2023-24, Alabama: 5-8 years"
"2023-24","JUL","0","68295","Utah","0","6-23 months","2023-24, Utah: 6-23 months"
"2022-23","AUG","22683","6061645","Washington","0.0037","18+ years","2022-23, Washington: 18+ years"
"2022-23","JUL","93","2053267","Alabama","0","18-49 years","2022-23, Alabama: 18-49 years"
"2022-23","MAR",,,"Hawaii",,"6-23 months","2022-23, Hawaii: 6-23 months"
"2022-23","MAR","45980","165441","Iowa","0.2779","9-12 years","2022-23, Iowa: 9-12 years"
"2022-23","NOV","137746","2194233","Texas","0.0628","13-17 years","2022-23, Texas: 13-17 years"
"2023-24","MAY","179765","967521","Florida","0.1858","5-8 years","2023-24, Florida: 5-8 years"
"2023-24","SEP","1258","25553","Vermont","0.0492","5-8 years","2023-24, Vermont: 5-8 years"
"2024-25","JAN","47614","289544","Utah","0.1644","13-17 years","2024-25, Utah: 13-17 years"
"2024-25","NOV","6958","26506","Vermont","0.2625","9-12 years","2024-25, Vermont: 9-12 years"
"2025-26","JUL",,,"Kansas",,"5-8 years","2025-26, Kansas: 5-8 years"
"2025-26","NOV","61160","370784","South Dakota","0.1649","18-49 years","2025-26, South Dakota: 18-49 years"
"2022-23","AUG","33160","4378122","Florida","0.0076","50-64 years","2022-23, Florida: 50-64 years"
"2022-23","JAN",,,"Hawaii",,"6-23 months","2022-23, Hawaii: 6-23 months"
"2022-23","NOV","42219","180044","North Dakota","0.2345","6 months to 17 years","2022-23, North Dakota: 6 months to 17 years"
"2023-24","FEB","164963","1051196","Louisiana","0.1569","6 months to 17 years","2023-24, Louisiana: 6 months to 17 years"
"2024-25","MAY","313515","1540906","New York City","0.2035","50-64 years","2024-25, New York City: 50-64 years"
"2024-25","OCT","9231","105762","Nevada","0.0873","2-4 years","2024-25, Nevada: 2-4 years"
"2025-26","DEC","338701","2566115","Missouri","0.132","18-49 years","2025-26, Missouri: 18-49 years"
"2025-26","JUL",,,"Wyoming",,"6 months to 17 years","2025-26, Wyoming: 6 months to 17 years"
"2023-24","JUN",,,"Rhode Island",,"18+ years","2023-24, Rhode Island: 18+ years"
"2023-24","OCT","109256","1241326","Arkansas","0.088","18-49 years","2023-24, Arkansas: 18-49 years"
"2023-24","OCT","110048","741580","Philadelphia","0.1484","18-49 years","2023-24, Philadelphia: 18-49 years"
"2023-24","OCT","201423","809095","Delaware","0.2489","18+ years","2023-24, Delaware: 18+ years"
"2022-23","JAN","9","695","Republic of Palau","0.0129","2-4 years","2022-23, Republic of Palau: 2-4 years"
"2024-25","DEC","317998","1033794","Colorado","0.3076","50-64 years","2024-25, Colorado: 50-64 years"
"2024-25","FEB","80158","273952","Colorado","0.2926","9-12 years","2024-25, Colorado: 9-12 years"
"2025-26","OCT",,,"New York City",,"5-8 years","2025-26, New York City: 5-8 years"
"2025-26","SEP",,,"Nevada",,"50-64 years","2025-26, Nevada: 50-64 years"
"2022-23","JAN","12716","32645","New Mexico","0.3895","6-23 months","2022-23, New Mexico: 6-23 months"
"2022-23","JUL","41","171275","Pennsylvania","0.0002","6-23 months","2022-23, Pennsylvania (excluding Philadelphia County): 6-23 months"
"2022-23","JUL","9","289853","Wisconsin","0","9-12 years","2022-23, Wisconsin: 9-12 years"
"2022-23","JUN","1647","7555","Federated States of Micronesia","0.218","5-8 years","2022-23, Federated States of Micronesia: 5-8 years"
"2022-23","MAR","4852","33891","Federated States of Micronesia","0.1432","6 months to 17 years","2022-23, Federated States of Micronesia: 6 months to 17 years"
"2023-24","MAR","74206","192818","Ohio","0.3848","6-23 months","2023-24, Ohio: 6-23 months"
"2023-24","NOV","286529","1279324","Indiana","0.224","50-64 years","2023-24, Indiana: 50-64 years"
"2023-24","SEP","13645","311664","New Hampshire","0.0438","50-64 years","2023-24, New Hampshire: 50-64 years"
"2024-25","DEC","324534","929867","Alabama","0.349","65+ years","2024-25, Alabama: 65+ years"
"2022-23","JUL","65","330526","Philadelphia","0.0002","6 months to 17 years","2022-23, Philadelphia: 6 months to 17 years"
"2022-23","MAR","45748","121028","District of Columbia","0.378","6 months to 17 years","2022-23, District of Columbia: 6 months to 17 years"
"2024-25","AUG","47","54079","Montana","0.0009","9-12 years","2024-25, Montana: 9-12 years"
"2024-25","MAR","673373","2379866","Illinois","0.2829","50-64 years","2024-25, Illinois: 50-64 years"
"2022-23","JAN","112714","402876","Maryland","0.2798","13-17 years","2022-23, Maryland: 13-17 years"
"2023-24","APR","648442","1145490","Indiana","0.5661","65+ years","2023-24, Indiana: 65+ years"
"2023-24","NOV",,,"Virginia",,"18+ years","2023-24, Virginia: 18+ years"
"2023-24","OCT","251335","2824666","Indiana","0.089","18-49 years","2023-24, Indiana: 18-49 years"
"2024-25","NOV",,,"Kansas",,"6 months to 17 years","2024-25, Kansas: 6 months to 17 years"
"2024-25","OCT","40235","168761","Pennsylvania","0.2384","6-23 months","2024-25, Pennsylvania (excluding Philadelphia County): 6-23 months"
"2025-26","NOV","370414","2560811","California","0.1446","13-17 years","2025-26, California: 13-17 years"
"2022-23","OCT","5042","25706","Vermont","0.1961","5-8 years","2022-23, Vermont: 5-8 years"
"2022-23","SEP","1310","114939","Guam","0.0114","18+ years","2022-23, Guam: 18+ years"
"2023-24","APR",,,"South Carolina",,"9-12 years","2023-24, South Carolina: 9-12 years"
"2023-24","JUN","76145","479064","Michigan","0.1589","9-12 years","2023-24, Michigan: 9-12 years"
"2023-24","SEP","5118","54374","Iowa","0.0941","6-23 months","2023-24, Iowa: 6-23 months"
"2024-25","MAR","5072","66981","Federated States of Micronesia","0.0757","18+ years","2024-25, Federated States of Micronesia: 18+ years"
"2024-25","AUG",,,"Houston",,"2-4 years","2024-25, Houston: 2-4 years"
"2024-25","FEB",,,"Massachusetts",,"6-23 months","2024-25, Massachusetts: 6-23 months"
"2024-25","MAY","126","6602","U.S. Virgin Islands ","0.0191","13-17 years","2024-25, U.S. Virgin Islands : 13-17 years"
"2024-25","OCT","17424","112741","Iowa","0.1545","2-4 years","2024-25, Iowa: 2-4 years"
"2024-25","OCT","37810","356998","Indiana","0.1059","9-12 years","2024-25, Indiana: 9-12 years"
"2022-23","APR","64857","311411","Missouri","0.2083","9-12 years","2022-23, Missouri: 9-12 years"
"2024-25","APR","9280185","30700170","California","0.3023","18+ years","2024-25, California: 18+ years"
"2024-25","JUL","0","73529","Philadelphia","0","5-8 years","2024-25, Philadelphia: 5-8 years"
"2024-25","JUN","949807","5329342","Illinois","0.1782","18-49 years","2024-25, Illinois: 18-49 years"
"2022-23","JUN","3","38021","U.S. Virgin Islands ","0.0001","18-49 years","2022-23, U.S. Virgin Islands : 18-49 years"
"2023-24","AUG","25","40641","Alaska","0.0006","9-12 years","2023-24, Alaska: 9-12 years"
"2023-24","NOV","0","185627","Georgia","0","6-23 months","2023-24, Georgia: 6-23 months"
"2023-24","OCT",,,"South Carolina",,"50-64 years","2023-24, South Carolina: 50-64 years"
"2023-24","SEP","51307","1233092","Wisconsin","0.0416","6 months to 17 years","2023-24, Wisconsin: 6 months to 17 years"
"2024-25","SEP",,,"Kansas",,"50-64 years","2024-25, Kansas: 50-64 years"
"2025-26","OCT","28733","189668","Georgia","0.1515","6-23 months","2025-26, Georgia: 6-23 months"
"2022-23","MAR","69002","155710","Connecticut","0.4431","5-8 years","2022-23, Connecticut: 5-8 years"
"2023-24","DEC","3020","52114","Guam","0.0579","6 months to 17 years","2023-24, Guam: 6 months to 17 years"
"2023-24","JUN","595524","2664119","Colorado","0.2235","18-49 years","2023-24, Colorado: 18-49 years"
"2023-24","NOV","137630","982449","Alabama","0.1401","50-64 years","2023-24, Alabama: 50-64 years"
"2024-25","JUN","14015","210664","Mississippi","0.0665","13-17 years","2024-25, Mississippi: 13-17 years"
"2024-25","JUN","7209","16598","Delaware","0.4343","6-23 months","2024-25, Delaware: 6-23 months"
"2024-25","JUN","11860","80844","West Virginia","0.1467","9-12 years","2024-25, West Virginia: 9-12 years"
"2024-25","OCT","213867","1059970","Minnesota","0.2018","50-64 years","2024-25, Minnesota: 50-64 years"
"2025-26","JUL","4256","8640127","Georgia","0.0005","18+ years","2025-26, Georgia: 18+ years"
"2022-23","DEC","79641","1200695","Mississippi","0.0663","18-49 years","2022-23, Mississippi: 18-49 years"
"2022-23","OCT","2575","29184","Wyoming","0.0882","5-8 years","2022-23, Wyoming: 5-8 years"
"2023-24","DEC",,,"Rhode Island",,"9-12 years","2023-24, Rhode Island: 9-12 years"
"2023-24","JUN","645","8274","Marshall Islands","0.078","13-17 years","2023-24, Marshall Islands: 13-17 years"
"2024-25","AUG","3","8276","Marshall Islands","0.0004","13-17 years","2024-25, Marshall Islands: 13-17 years"
"2024-25","OCT","25806","104168","Maryland","0.2477","6-23 months","2024-25, Maryland: 6-23 months"
"2025-26","JUL","7","385951","Georgia","0","2-4 years","2025-26, Georgia: 2-4 years"
"2022-23","DEC","6359","66856","Federated States of Micronesia","0.0951","18+ years","2022-23, Federated States of Micronesia: 18+ years"
"2022-23","JUN","16251","107881","Mississippi","0.1506","2-4 years","2022-23, Mississippi: 2-4 years"
"2022-23","NOV","71138","654936","Puerto Rico","0.1086","50-64 years","2022-23, Puerto Rico: 50-64 years"
"2022-23","OCT","37884","460085","Tennessee","0.0823","13-17 years","2022-23, Tennessee: 13-17 years"
"2023-24","JUN","14663","147149","Mississippi","0.0996","5-8 years","2023-24, Mississippi: 5-8 years"
"2023-24","JUN","596306","2340429","Arkansas","0.2548","18+ years","2023-24, Arkansas: 18+ years"
"2024-25","DEC","215591","1150129","New Hampshire","0.1874","18+ years","2024-25, New Hampshire: 18+ years"
"2024-25","NOV","80419","686769","Florida","0.1171","2-4 years","2024-25, Florida: 2-4 years"
"2024-25","NOV","896","3164","American Samoa","0.2832","9-12 years","2024-25, American Samoa: 9-12 years"
"2022-23","DEC","59651","311411","Missouri","0.1916","9-12 years","2022-23, Missouri: 9-12 years"
"2022-23","JUL","2","80917","New Hampshire","0","13-17 years","2022-23, New Hampshire: 13-17 years"
"2023-24","AUG",,,"Massachusetts",,"5-8 years","2023-24, Massachusetts: 5-8 years"
"2023-24","MAR","950977","3498104","Kentucky","0.2719","18+ years","2023-24, Kentucky: 18+ years"
"2024-25","FEB","52146","155505","Michigan","0.3353","6-23 months","2024-25, Michigan: 6-23 months"
"2022-23","MAY","12364","36030","South Dakota","0.3432","2-4 years","2022-23, South Dakota: 2-4 years"
"2023-24","DEC","40418","118323","Indiana","0.3416","6-23 months","2023-24, Indiana: 6-23 months"
"2023-24","MAY","96435","450855","Wyoming","0.2139","18+ years","2023-24, Wyoming: 18+ years"
"2024-25","AUG","6749","2288918","North Carolina","0.0029","6 months to 17 years","2024-25, North Carolina: 6 months to 17 years"
"2024-25","FEB","33773","103337","Missouri","0.3268","6-23 months","2024-25, Missouri: 6-23 months"
"2022-23","APR","15165","189052","Puerto Rico","0.0802","13-17 years","2022-23, Puerto Rico: 13-17 years"
"2022-23","DEC","33434","163749","Kentucky","0.2042","2-4 years","2022-23, Kentucky: 2-4 years"
"2023-24","AUG",,,"Hawaii",,"18+ years","2023-24, Hawaii: 18+ years"
"2023-24","NOV",,,"Nebraska",,"6 months to 17 years","2023-24, Nebraska: 6 months to 17 years"
"2023-24","SEP","8459","302143","Kentucky","0.028","13-17 years","2023-24, Kentucky: 13-17 years"
"2024-25","APR",,,"Nebraska",,"9-12 years","2024-25, Nebraska: 9-12 years"
"2022-23","APR","39788","105625","Missouri","0.3767","6-23 months","2022-23, Missouri: 6-23 months"
"2022-23","AUG","9343","4467697","Pennsylvania","0.0021","18-49 years","2022-23, Pennsylvania (excluding Philadelphia County): 18-49 years"
"2022-23","JAN",,,"Kansas",,"18-49 years","2022-23, Kansas: 18-49 years"
"2022-23","SEP","7668","210010","Montana","0.0365","50-64 years","2022-23, Montana: 50-64 years"
"2023-24","FEB","73409","472153","Michigan","0.1555","5-8 years","2023-24, Michigan: 5-8 years"
"2023-24","JUL","16","207823","Nevada","0.0001","13-17 years","2023-24, Nevada: 13-17 years"
"2023-24","MAY","177937","1241326","Arkansas","0.1433","18-49 years","2023-24, Arkansas: 18-49 years"
"2024-25","DEC",,,"Virginia",,"9-12 years","2024-25, Virginia: 9-12 years"
"2024-25","JUN",,,"Kansas",,"2-4 years","2024-25, Kansas: 2-4 years"
"2024-25","MAR","1353","30724","American Samoa","0.044","18+ years","2024-25, American Samoa: 18+ years"
"2025-26","SEP",,,"Delaware",,"18-49 years","2025-26, Delaware: 18-49 years"
"2022-23","JAN","15098","49135","South Dakota","0.3073","5-8 years","2022-23, South Dakota: 5-8 years"
"2022-23","JUN","235179","598374","Iowa","0.393","50-64 years","2022-23, Iowa: 50-64 years"
"2024-25","JUL","3","390059","Minnesota","7.6911e-06","13-17 years","2024-25, Minnesota: 13-17 years"
"2025-26","AUG",,,"Wyoming",,"50-64 years","2025-26, Wyoming: 50-64 years"
"2025-26","SEP",,,"Mississippi",,"6 months to 17 years","2025-26, Mississippi: 6 months to 17 years"
"2022-23","MAR","486","2574","Marshall Islands","0.1888","6-23 months","2022-23, Marshall Islands: 6-23 months"
"2023-24","AUG","0","49317","Federated States of Micronesia","0","18-49 years","2023-24, Federated States of Micronesia: 18-49 years"
"2023-24","JUL","0","37531","U.S. Virgin Islands ","0","18-49 years","2023-24, U.S. Virgin Islands : 18-49 years"
"2024-25","SEP","6025","112267","Vermont","0.0537","6 months to 17 years","2024-25, Vermont: 6 months to 17 years"
"2025-26","AUG",,,"North Dakota",,"6-23 months","2025-26, North Dakota: 6-23 months"
"2025-26","NOV",,,"Montana",,"6 months to 17 years","2025-26, Montana: 6 months to 17 years"
"2022-23","JAN","20022","28946","Philadelphia","0.6917","6-23 months","2022-23, Philadelphia: 6-23 months"
"2023-24","APR","40228","315549","Louisiana","0.1275","13-17 years","2023-24, Louisiana: 13-17 years"
"2023-24","JUN","1221564","2148185","Illinois","0.5686","65+ years","2023-24, Illinois: 65+ years"
"2023-24","MAY","51895","92698","Colorado","0.5598","6-23 months","2023-24, Colorado: 6-23 months"
"2023-24","SEP","253505","4445285","Florida","0.057","50-64 years","2023-24, Florida: 50-64 years"
"2024-25","DEC","7722","25021","Vermont","0.3086","5-8 years","2024-25, Vermont: 5-8 years"
"2025-26","AUG","536","125825","District of Columbia","0.0043","6 months to 17 years","2025-26, District of Columbia: 6 months to 17 years"
"2022-23","JUL","29","510587","Pennsylvania","0.0001","5-8 years","2022-23, Pennsylvania (excluding Philadelphia County): 5-8 years"
"2022-23","NOV","42158","300750","Kentucky","0.1402","13-17 years","2022-23, Kentucky: 13-17 years"
"2023-24","APR","11276","35772","South Dakota","0.3152","2-4 years","2023-24, South Dakota: 2-4 years"
"2023-24","JAN","34084","127137","Oregon","0.2681","2-4 years","2023-24, Oregon: 2-4 years"
"2024-25","JUL","19","741992","Connecticut","0","50-64 years","2024-25, Connecticut: 50-64 years"
"2025-26","AUG",,,"Montana",,"65+ years","2025-26, Montana: 65+ years"
"2025-26","SEP",,,"Houston",,"2-4 years","2025-26, Houston: 2-4 years"
"2022-23","JUL","44","714504","New York State","0.0001","13-17 years","2022-23, New York (excluding New York City): 13-17 years"
"2024-25","JAN","111","3814","U.S. Virgin Islands ","0.0291","2-4 years","2024-25, U.S. Virgin Islands : 2-4 years"
"2023-24","APR","60965","304918","Missouri","0.1999","5-8 years","2023-24, Missouri: 5-8 years"
"2023-24","DEC","10441","42977","North Dakota","0.2429","5-8 years","2023-24, North Dakota: 5-8 years"
"2023-24","FEB","7566","25543","West Virginia","0.2962","6-23 months","2023-24, West Virginia: 6-23 months"
"2023-24","JAN","408925","1178650","Wisconsin","0.3469","50-64 years","2023-24, Wisconsin: 50-64 years"
"2023-24","OCT","958162","7268014","New Jersey","0.1318","18+ years","2023-24, New Jersey: 18+ years"
"2025-26","DEC",,,"New Jersey",,"5-8 years","2025-26, New Jersey: 5-8 years"
"2022-23","FEB","333119","1526777","Utah","0.2182","18-49 years","2022-23, Utah: 18-49 years"
"2022-23","JUN","12809","33232","Idaho","0.3854","6-23 months","2022-23, Idaho: 6-23 months"
"2022-23","MAR","9060","14942","American Samoa","0.6063","6 months to 17 years","2022-23, American Samoa: 6 months to 17 years"
"2022-23","MAR",,,"Virginia",,"6 months to 17 years","2022-23, Virginia: 6 months to 17 years"
"2023-24","FEB","62555","363304","District of Columbia","0.1722","18-49 years","2023-24, District of Columbia: 18-49 years"
"2024-25","JUL","23","559923","Arkansas","0","50-64 years","2024-25, Arkansas: 50-64 years"
"2024-25","SEP","7142","488788","Puerto Rico","0.0146","6 months to 17 years","2024-25, Puerto Rico: 6 months to 17 years"
"2023-24","JUL","13","206081","Delaware","0.0001","6 months to 17 years","2023-24, Delaware: 6 months to 17 years"
"2024-25","FEB","0","973","Republic of Palau","0","5-8 years","2024-25, Republic of Palau: 5-8 years"
"2022-23","APR","8341","36258","Montana","0.23","2-4 years","2022-23, Montana: 2-4 years"
"2022-23","FEB","4932","8146","Vermont","0.6055","6-23 months","2022-23, Vermont: 6-23 months"
"2022-23","JUL","96","1366560","New York City","0.0001","65+ years","2022-23, New York City: 65+ years"
"2023-24","DEC","162698","1241326","Arkansas","0.1311","18-49 years","2023-24, Arkansas: 18-49 years"
"2023-24","MAY","7905","71143","Montana","0.1111","13-17 years","2023-24, Montana: 13-17 years"
"2023-24","NOV","764","2334","American Samoa","0.3273","2-4 years","2023-24, American Samoa: 2-4 years"
"2024-25","APR","33162","112741","Iowa","0.2941","2-4 years","2024-25, Iowa: 2-4 years"
"2024-25","APR","342965","1864790","New Jersey","0.1839","50-64 years","2024-25, New Jersey: 50-64 years"
"2022-23","JAN","741516","2461322","Iowa","0.3013","18+ years","2022-23, Iowa: 18+ years"
"2022-23","NOV","23232","179964","Alabama","0.1291","2-4 years","2022-23, Alabama: 2-4 years"
"2022-23","NOV",,,"Chicago",,"5-8 years","2022-23, Chicago: 5-8 years"
"2023-24","JAN","95357","375413","Washington","0.254","5-8 years","2023-24, Washington: 5-8 years"
"2024-25","MAY","319399","1235973","Philadelphia","0.2584","18+ years","2024-25, Philadelphia: 18+ years"
"2022-23","FEB","157695","606261","New Jersey","0.2601","13-17 years","2022-23, New Jersey: 13-17 years"
"2022-23","JUN","2499","3344","American Samoa","0.7473","5-8 years","2022-23, American Samoa: 5-8 years"
"2022-23","MAY","612814","2548813","Ohio","0.2404","6 months to 17 years","2022-23, Ohio: 6 months to 17 years"
"2022-23","OCT","167891","398491","New Mexico","0.4213","65+ years","2022-23, New Mexico: 65+ years"
"2023-24","FEB","50851","92698","Colorado","0.5486","6-23 months","2023-24, Colorado: 6-23 months"
"2023-24","OCT","39844","472153","Michigan","0.0844","5-8 years","2023-24, Michigan: 5-8 years"
"2025-26","DEC",,,"Montana",,"13-17 years","2025-26, Montana: 13-17 years"
"2025-26","NOV",,,"Philadelphia",,"2-4 years","2025-26, Philadelphia: 2-4 years"
"2022-23","MAR","1157056","3393075","Oregon","0.341","18+ years","2022-23, Oregon: 18+ years"
"2022-23","SEP","32597","535027","New York State","0.0609","9-12 years","2022-23, New York (excluding New York City): 9-12 years"
"2023-24","AUG","736","218604","Maryland","0.0034","2-4 years","2023-24, Maryland: 2-4 years"
"2023-24","SEP","45248","600356","Nevada","0.0754","50-64 years","2023-24, Nevada: 50-64 years"
"2024-25","JUN",,,"Chicago",,"6-23 months","2024-25, Chicago: 6-23 months"
"2023-24","APR","288477","1837915","Kentucky","0.157","18-49 years","2023-24, Kentucky: 18-49 years"
"2023-24","JUL","44","1653759","New Mexico","0","18+ years","2023-24, New Mexico: 18+ years"
"2024-25","FEB","318781","1263528","Indiana","0.2523","50-64 years","2024-25, Indiana: 50-64 years"
"2024-25","JUN","1233112","7420196","Texas","0.1662","6 months to 17 years","2024-25, Texas: 6 months to 17 years"
"2024-25","MAY","8646","30080","District of Columbia","0.2874","13-17 years","2024-25, District of Columbia: 13-17 years"
"2024-25","OCT","447","4602","Guam","0.0971","6-23 months","2024-25, Guam: 6-23 months"
"2022-23","JAN","603457","5117233","Texas","0.1179","50-64 years","2022-23, Texas: 50-64 years"
"2022-23","JUL",,,"Rhode Island",,"65+ years","2022-23, Rhode Island: 65+ years"
"2022-23","JUN",,,"Kansas",,"18-49 years","2022-23, Kansas: 18-49 years"
"2023-24","MAY","14665","46411","Delaware","0.316","5-8 years","2023-24, Delaware: 5-8 years"
"2024-25","FEB","89531","317902","Philadelphia","0.2816","6 months to 17 years","2024-25, Philadelphia: 6 months to 17 years"
"2024-25","OCT","48995","478125","Michigan","0.1025","9-12 years","2024-25, Michigan: 9-12 years"
"2022-23","AUG","154","116251","Iowa","0.0013","2-4 years","2022-23, Iowa: 2-4 years"
"2022-23","DEC","550516","1171335","Tennessee","0.47","65+ years","2022-23, Tennessee: 65+ years"
"2023-24","APR","4557","8024","Vermont","0.5679","6-23 months","2023-24, Vermont: 6-23 months"
"2024-25","MAY","553824","2579296","California","0.2147","13-17 years","2024-25, California: 13-17 years"
"2022-23","JUL","124","678553","Nevada","0.0002","6 months to 17 years","2022-23, Nevada: 6 months to 17 years"
"2022-23","JUN",,,"Chicago",,"2-4 years","2022-23, Chicago: 2-4 years"
"2023-24","APR","36938","336166","Alabama","0.1099","13-17 years","2023-24, Alabama: 13-17 years"
