school,city,county,applied,admitted,attended,tot_enrolled,grade_12
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,25,3,,1961,485
ABLE CHARTER,Stockton,San Joaquin,8,,,1191,73
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,48,11,4,942,242
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,201,33,23,2037,489
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,56,8,3,1596,365
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,16,,,241,41
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,9,,,454,110
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,18,6,4,493,132
ACADEMY FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,6,3,,1496,119
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,8,,,457,121
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,47,7,5,390,100
ACADEMY OF THE REDWOODS,Eureka,Humboldt,17,7,6,165,33
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,13,3,,265,73
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,128,18,12,1250,321
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,13,,,341,80
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,36,3,,2229,489
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,49,,,1932,492
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,101,,,1695,446
ADVANCED LEARNING ACADEMY,Santa Ana,Orange,14,,,368,48
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,81,12,5,1728,455
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,42,4,,368,86
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,15,,,1189,332
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,12,,,389,40
ALAMEDA HIGH SCHOOL,Alameda,Alameda,170,25,12,1863,479
ALAMEDA SCIENCE & TECHNICAL INST,Alameda,Alameda,42,7,6,167,29
ALBANY HIGH SCHOOL,Albany,Alameda,153,13,6,1117,270
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,82,24,9,2107,531
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,90,12,6,2100,623
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,21,,,1070,274
ALISAL HIGH SCHOOL,Salinas,Monterey,89,11,7,2791,675
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,123,14,7,2608,674
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,12,,,499,120
ALLIANCE COLLINS COLLEGE READY HS,Huntington Park,Los Angeles,21,3,,618,138
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,13,5,,455,104
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,39,7,4,1003,137
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,17,4,,605,144
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,8,3,,321,77
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,22,4,,561,139
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,15,3,,589,137
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,19,,,,
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,15,,,470,101
ALLIANCE NEUWIRTH LEADERSHIP ACADMY,Los Angeles,Los Angeles,19,3,,597,130
