school,city,county,applied,admitted,attended
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,25,3,
ABLE CHARTER,Stockton,San Joaquin,8,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,48,11,4
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,201,33,23
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,56,8,3
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,16,,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,9,,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,18,6,4
ACADEMY FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,6,3,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,8,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,47,7,5
ACADEMY OF THE REDWOODS,Eureka,Humboldt,17,7,6
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,13,3,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,128,18,12
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,13,,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,36,3,
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,49,,
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,101,,
ADVANCED LEARNING ACADEMY,Santa Ana,Orange,14,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,81,12,5
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,42,4,
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,15,,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,12,,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,170,25,12
ALAMEDA SCIENCE & TECHNICAL INST,Alameda,Alameda,42,7,6
ALBANY HIGH SCHOOL,Albany,Alameda,153,13,6
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,82,24,9
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,90,12,6
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,21,,
ALISAL HIGH SCHOOL,Salinas,Monterey,89,11,7
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,123,14,7
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,12,,
ALLIANCE COLLINS COLLEGE READY HS,Huntington Park,Los Angeles,21,3,
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,13,5,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,39,7,4
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,17,4,
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,8,3,
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,22,4,
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,15,3,
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,19,,
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,15,,
ALLIANCE NEUWIRTH LEADERSHIP ACADMY,Los Angeles,Los Angeles,19,3,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,33,4,
ALLIANCE PIERA BARBAGLIA SHAHEEN HS,Los Angeles,Los Angeles,13,,
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,15,,
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,10,,
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,28,5,
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,7,,
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,15,,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,45,3,
ALTERNATIVES IN ACTION HIGH SCHOOL,Oakland,Alameda,11,,
ALTUS CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,5,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,8,,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,302,21,13
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,8,,
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,61,8,
AMERICAN HIGH SCHOOL,Fremont,Alameda,348,25,20
ANAHEIM HIGH SCHOOL,Anaheim,Orange,74,8,5
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,6,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,33,,
ANDERSON VALLEY JR SR HIGH SCHOOL,Boonville,Mendocino,5,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,30,5,
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,95,6,3
ANIMO COMPTON CHARTER SCHOOL,Los Angeles,Los Angeles,8,,
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,11,,
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,31,3,
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,25,6,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,33,7,
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,38,8,
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,22,4,
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,11,,
ANIMO VENICE CHARTER HS,Venice,Los Angeles,22,6,
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,21,3,
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,82,7,4
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,37,3,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,14,3,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,36,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,31,,
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,9,,
