school,city,county,applied,admitted,attended,tot_enrolled,grade_12,is_charter,pct_free_reduced,dist_to_ucb_miles
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,25,3,NA,1961,485,N,0.68536461,372.9416839459517
ABLE CHARTER,Stockton,San Joaquin,8,NA,NA,1191,73,Y,0.678421495,52.24932475024146
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,48,11,4,942,242,N,0.832271762,346.7800881395148
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,201,33,23,2037,489,N,0.450171821,14.878893617360015
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,56,8,3,1596,365,N,0.469298246,41.786639218295136
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,16,NA,NA,241,41,Y,0.601659751,345.20537515557845
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,9,NA,NA,454,110,N,0.922907489,345.5226874640268
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,18,6,4,493,132,N,0.669371197,357.7196404429383
ACADEMY FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,6,3,NA,1496,119,Y,0.328877005,360.9709128214528
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,8,NA,NA,457,121,N,0.748358862,357.7196404429383
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,47,7,5,390,100,N,0.120512821,315.79141232103575
ACADEMY OF THE REDWOODS,Eureka,Humboldt,17,7,6,165,33,N,NA,221.0073459666035
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,13,3,NA,265,73,N,NA,13.584690988145306
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,128,18,12,1250,321,N,0.0816,9.022331640385444
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,13,NA,NA,341,80,Y,0.780058651,41.275577601227795
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,36,3,NA,2229,489,N,0.734410049,354.11283352814837
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,49,NA,NA,1932,492,N,0.280538302,310.9220720680542
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,101,NA,NA,1695,446,N,0.271976401,38.00554998120743
ADVANCED LEARNING ACADEMY,Santa Ana,Orange,14,NA,NA,368,48,Y,0.682065217,375.6202991695081
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,81,12,5,1728,455,N,0.177662037,323.3546493489218
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,42,4,NA,368,86,Y,0.690217391,4.246082082005109
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,15,NA,NA,1189,332,Y,0.894028595,351.9081601257133
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,12,NA,NA,389,40,Y,0.357326478,6.622551795564711
ALAMEDA HIGH SCHOOL,Alameda,Alameda,170,25,12,1863,479,N,0.234031133,7.460465058924956
ALAMEDA SCIENCE & TECHNICAL INST,Alameda,Alameda,42,7,6,167,29,N,NA,6.423805636723559
ALBANY HIGH SCHOOL,Albany,Alameda,153,13,6,1117,270,N,0.218442256,2.462147379194337
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,82,24,9,2107,531,N,0.66967252,342.277145121148
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,90,12,6,2100,623,N,0.526666667,348.374309870456
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,21,NA,NA,1070,274,N,0.279439252,11.304278452329193
ALISAL HIGH SCHOOL,Salinas,Monterey,89,11,7,2791,675,N,0.840917234,89.74982213572606
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,123,14,7,2608,674,N,0.229294479,391.73811716928
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,12,NA,NA,499,120,Y,0.891783567,352.78523481371457
ALLIANCE COLLINS COLLEGE READY HS,Huntington Park,Los Angeles,21,3,NA,618,138,Y,0.839805825,350.87540715483175
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,13,5,NA,455,104,Y,0.931868132,346.3307358749927
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,39,7,4,1003,137,Y,0.90329013,345.9390556430779
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,17,4,NA,605,144,Y,0.920661157,351.06232859030587
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,8,3,NA,321,77,Y,0.797507788,343.0818605591066
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,22,4,NA,561,139,Y,0.789661319,348.51385598299487
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,15,3,NA,589,137,Y,0.881154499,351.52802320328266
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,19,NA,NA,NA,NA,NA,NA,NA
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,15,NA,NA,470,101,Y,0.921276596,349.4035120585401
ALLIANCE NEUWIRTH LEADERSHIP ACADMY,Los Angeles,Los Angeles,19,3,NA,597,130,Y,0.926298157,348.12409286930375
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,33,4,NA,970,141,Y,0.864948454,346.82844231680815
ALLIANCE PIERA BARBAGLIA SHAHEEN HS,Los Angeles,Los Angeles,13,NA,NA,452,114,Y,0.946902655,349.6087336449409
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,15,NA,NA,520,129,Y,0.938461538,347.60195349858174
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,10,NA,NA,254,69,Y,0.893700787,346.2634624893212
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,28,5,NA,475,107,Y,0.928421053,345.23876854219736
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,7,NA,NA,184,47,Y,0.885869565,344.04564619684777
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,15,NA,NA,428,105,Y,0.740654206,44.255509833065965
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,45,3,NA,2400,596,N,0.465833333,366.8778506602091
ALTERNATIVES IN ACTION HIGH SCHOOL,Oakland,Alameda,11,NA,NA,132,32,Y,0.795454545,8.23763086617008
ALTUS CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,5,NA,NA,1855,505,N,0.573045822,457.723335170238
AMADOR HIGH SCHOOL,Sutter Creek,Amador,8,NA,NA,627,148,N,0.398724083,86.7784202833405
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,302,21,13,2574,646,N,0.072649573,25.3744325724647
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,8,NA,NA,500,63,N,0.91,344.21773659563905
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,61,8,NA,1698,427,N,0.375147232,20.33031303662527
AMERICAN HIGH SCHOOL,Fremont,Alameda,348,25,20,2587,570,N,0.149980673,25.10158447202119
ANAHEIM HIGH SCHOOL,Anaheim,Orange,74,8,5,2734,593,N,0.80431602,369.8219910919304
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,6,NA,NA,266,21,Y,0.808270677,347.0017611361199
ANALY HIGH SCHOOL,Sebastopol,Sonoma,33,NA,NA,1450,369,N,0.293103448,48.09974606077631
ANDERSON VALLEY JR SR HIGH SCHOOL,Boonville,Mendocino,5,NA,NA,207,39,N,0.739130435,99.27769384590262
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,30,5,NA,1620,405,N,0.545679012,46.445980034612035
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,95,6,3,2053,500,N,0.234291281,23.330140403779364
ANIMO COMPTON CHARTER SCHOOL,Los Angeles,Los Angeles,8,NA,NA,330,36,Y,0.875757576,353.15264355081393
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,11,NA,NA,303,68,Y,0.788778878,349.0143388737365
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,31,3,NA,610,154,Y,0.781967213,348.3312569649705
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,25,6,NA,604,152,Y,0.885761589,347.1531805351278
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,33,7,NA,628,151,Y,0.835987261,349.1358891883982
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,38,8,NA,602,141,Y,0.913621262,351.2721727464288
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,22,4,NA,557,130,Y,0.922800718,348.5955656095296
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,11,NA,NA,1036,223,N,0.819498069,343.0275045351958
ANIMO VENICE CHARTER HS,Venice,Los Angeles,22,6,NA,373,96,Y,0.809651475,341.6776855949882
