state,electoral_votes,actual_dem_1936,actual_rep_1936,ld_rep_1936,ld_dem_1936,actual_dem_1932,actual_rep_1932,ld_dem_1932,ld_rep_1932
Alabama,11,238196,35358,3060,10082,207910,34675,9828,1589
Arizona,3,86722,33433,2337,1975,79264,36104,2202,1679
Arkansas,9,146765,32049,2724,7608,189602,28467,7608,1566
California,22,1766836,836431,89516,77245,1324157,847902,69720,80525
Colorado,6,295021,181267,15949,10025,250877,189617,9970,13619
Connecticut,8,382129,278685,28809,13413,281632,288420,12489,25523
Delaware,3,69702,54014,2918,2048,54319,57073,1673,2846
Florida,7,249117,78248,6087,8620,206307,69170,8975,3756
Georgia,12,255363,36943,3948,12915,234118,19863,12194,1618
Idaho,4,125683,66256,3653,2611,109479,71417,2687,3070
Illinois,29,2282999,1570393,123297,79035,1882304,1432756,80497,99905
Indiana,14,934974,691570,42805,26663,862054,677184,27891,36426
Iowa,11,621756,487977,31871,18614,598019,414433,19775,26013
Kansas,9,464520,397727,35408,20254,424204,349498,20610,29497
Kentucky,11,541944,369702,13365,16592,580574,394716,16533,10543
Louisiana,10,292894,36791,3686,7902,249418,18853,8143,1811
Maine,5,126333,168823,11742,5337,128907,166631,5387,9254
Maryland,8,389612,231435,17463,18341,314314,184184,18225,11645
Massachusetts,17,942716,768613,87449,25965,800148,736959,27604,75708
Michigan,19,1016794,699733,51478,25686,871700,739894,26067,43640
Minnesota,11,698811,350461,30762,20733,600806,363959,20813,26085
Mississippi,9,157333,4467,848,6080,140168,5180,5790,357
Missouri,15,1111043,697891,50022,38267,1025406,564713,41757,38014
Montana,4,159690,63598,4490,3562,127286,78078,3345,3996
Nebraska,7,347445,247731,18280,11770,359082,201177,13286,14113
Nevada,3,31925,11923,1003,955,28756,12674,988,821
New Hampshire,4,108460,104642,9207,2737,100680,103629,3056,7983
New Jersey,16,1083850,720322,58677,27631,806394,775406,27267,50856
New Mexico,3,106037,61727,1625,1662,95089,54217,1734,1215
New York,47,3293222,2180670,162260,139277,2534959,1937963,132990,132815
North Carolina,13,616141,223294,6113,16324,497566,208344,15434,4352
North Dakota,4,163148,72751,4250,3666,178350,71772,3836,3481
Ohio,26,1747140,1127855,77896,50778,1301695,1227319,49255,67697
Oklahoma,11,501069,245122,14442,15075,516468,188165,16649,9682
Oregon,5,266733,122706,11747,10951,213871,136019,9680,10559
Pennsylvania,36,2353788,1690300,119086,81114,1295948,1453540,76179,100935
Rhode Island,4,164338,125031,10401,3489,146604,115266,3739,8765
South Carolina,8,113791,1646,1247,7105,102347,1978,6601,317
South Dakota,4,160137,125977,8483,4507,183515,99212,5410,6571
Tennessee,11,327083,146516,9883,19829,259473,126752,17864,7204
Texas,23,734485,103874,15341,37501,760348,97959,38036,8162
Utah,4,150248,64555,4067,5318,116750,84795,4786,3860
Vermont,3,62124,81023,7241,2458,56266,78984,2578,6327
Virginia,11,234980,98336,10223,16783,203979,89637,16194,6817
Washington,8,459579,206892,21370,15300,353260,208645,16223,17122
West Virginia,8,502582,325358,13660,10235,405124,330731,10818,11338
Wisconsin,12,802984,380828,33796,20781,707410,347741,24073,25731
Wyoming,3,62624,38739,2526,1533,54370,39583,1654,2072
